username,article_title,article_content,article_like,article_date,view
"hungphongbk","Lorem ipsum dolor sit amet","p Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.\nh3 Lorem ipsum dolor sit.\ni.lead Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.\np.dropcap Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",2,"2014-12-18",1000
"trungluom","Lorem ipsum dolor","p Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",3,2014-08-18,100
"hungphongbk", "Những trải nghiệm nên thử tại Hội An - đạp xe dọc phố cổ","p.lead Với giá thuê xe chỉ tầm 20k-50k/chiếc/ngày, và diện tích của Hội An cũng không quá lơn, cộng thêm việc BQL phố cổ cấm xe máy chạy trong phố vào giờ cao điểm vào chiều và tối thì xe đạp là phương tiện được hầu hết du khách nước ngoài và một phần du khách Việt ưa thích.\np Mình để ý thấy là hình như các bạn Việt không thích đạp xe cho lắm vì &#34;mệt&#44; nắng và nóng&#34;. Điều này đúng, nếu bạn có kế hoạch đi chơi xa thì thuê xe máy là một lựa chọn thích hợp, nhưng nếu bạn muốn đi dạo phố cổ thì tốt nhất là nên lựa chọn xe đạp là phương tiện chính. Đạp xe thong dong trong Hội An để cảm nhận được cái chậm rãi của cuộc sống nơi phố cổ, chưa kể bạn sẽ tiết kiệm thời gian hơn so với việc đi bộ nữa",4,"2015-09-01",1615
"trungluom", "Những trải nghiệm nên thử tại Hội An - đi thuyền trên sông Hoài","p Sông Hoài là con sông vắt ngang phố cổ. Vào ban đêm, khi Hội An lung linh với ánh sáng đèn lồng&#44; thì việc vừa chèo thuyền vừa thư thả ngắm nhìn đô thị cổ đẹp nhất Việt Nam này từ phía dưới sông là một trải nghiệm sẽ để lại dấu ấn khó phai. Giá thuê thuyền ở đây là 50k cho 30p tham quan, bạn có thể mặc cả lên 45p, vào ban ngày, nếu như trời mát và khách vắng thì cuộc dạo chơi có thể đi xa hơn và lâu hơn nữa. Các cô chủ thuyền rất thân thiện, mình đã thử nhờ cô dạy cách chèo thuyền và có thể tự chèo được một quãng sông Hoài rồi đấy nhé. Để trải nghiệm trọn vẹn nhất chuyến dạo chơi vào ban đêm thì bạn có thể mua thêm vài bông hoa đăng bằng giấy để vừa thả vừa ngắm nhìn Hội An lung linh trong đêm",9,"2015-08-29",725
"tranchau","Những trải nghiệm nên thử tại Hội An - cafe sáng cùng bánh mì","p Mình đã có một buổi sáng khó quên với bánh mì bà Khanh (Trần Cao Vân) nổi tiếng và ly cafe trong quán cóc ngay phía trước Chùa Cầu và mình nghĩ là các bạn cũng không nên bỏ qua trải nghiệm này. Với ổ bánh mì giòn tan nổi tiếng với đầy đủ gia vị thơm phức cùng nhiều loại nhân bánh khác nhau trên tay, kèm theo gió từ bờ sông thổi nhè nhẹ, thì mình tin là các bạn có thể ngồi cả ngày để ngắm nhìn phố cổ. Mình nghĩ là không còn gì đơn giản hơn để định nghĩa sự yên bình đâu nhỉ",6,"2015-09-02",3624
"hungphongbk", "Những trải nghiệm nên thử tại Hội An - bbq tại biển An Bàng","p Biển An Bàng là bãi biển mới của Hội An, vì lý do Cửa Đại bị sạt lở từ nhiều năm trước và đang trong quá trình tu sửa nên An Bàng nghiễm nhiên trở thành nơi thu hút khách của Hội An. Chuẩn bị BBQ tại biển An Bàng cũng rất dễ, mình đã tự mua lò than cùng các vật dụng khác, rồi mua thêm vài món hải sản bán ở chợ Hội An là đã có thể làm một bữa tiệc BBQ thơ mộng ngay tại biển. Thời gian thích hợp nhất để BBQ có lẽ là buổi sáng, bạn nên ra biển sớm để nhóm bếp, vừa ăn vừa sưởi ấm vừa chờ đón bình minh. Mình cam đoan là bạn sẽ không tài nào quên được trải nghiệm này và biết đâu bạn sẽ bị nghiện hình thức BBQ đầy thú vị này thì sao. Dù gì đi chăng nữa thì trải nghiệm cũng chỉ có ý nghĩa khi tự mình thực hiện và khám phá. Vậy nên mình hy vọng các bạn có thể tự tìm ra một số những trải nghiệm khác mới lạ hơn nữa và chia sẻ cho Ulibi biết nhé",9,"2015-09-03",4632
"trungluom","Cẩm nang du lịch ""hòn ngọc thô"" Bình Hưng","p.lead Nếu đã quá quen với cái tên đảo tôm hùm Bình Ba, du khách có thể đổi gió vi vu qua đảo Bình Hưng cách đó không xa để khám phá những điều mới lạ của hòn ngọc thô này.\np Đảo Bình Hưng nằm ở vịnh nước sâu Cam Ranh, thuộc xã Cam Bình, thành phố Cam Ranh, tỉnh Khánh Hòa. Du khách có thể nhìn thấy hòn đảo xinh đẹp này ngay từ khi bon bon trên con đèo ngoạn mục Vĩnh Hy - Bình Tiên.\nh5 Thời điểm tham quan\np Du khách tham quan Bình Hưng cần tránh tháng 10, 11 vì đây là thời điểm mưa bão. Lý tưởng nhất vẫn là các tháng hè vì bạn sẽ được thưởng ngoạn khung cảnh biển xanh cát trắng nắng vàng.\nimg(src=\"http://c0.f33.img.vnecdn.net/2015/03/23/1-JPG-8279-1427076163.jpg\")\nh5 Cách di chuyển\np Từ Sài Gòn, Hà Nội bạn có thể đi máy bay, xe khách, tàu hỏa để đến Cam Ranh. Muốn tiết kiệm thời gian, du khách nên khởi hành ban đêm từ Sài Gòn để đến Cam Ranh vào sáng sớm hôm sau.\np Từ TP. Cam Ranh đi theo quốc lộ 1A hướng vào Ninh Thuận, sau đó men theo tuyến đường mới đi Bình Lập - Bình Tiên khoảng 15 km để đến Bãi Kinh - Bình Hưng.\np Nếu khởi hành ở TP. Phan Rang, bạn đi theo quốc lộ 702 hướng đi vịnh Vĩnh Hy khoảng 57 km, tới ngã 3 Vĩnh Hy rẽ trái đi theo cung đường mới 13 km nữa là đến Bãi Kinh.\np Từ đây, du khách đi thuyền sang đảo mất khoảng 10 phút, chi phí 10.000 đồng một lượt một người. Nếu khách muốn chạy xe máy rong ruổi trên đảo thì giá đưa xe máy qua là 10.000 đồng. Xe điện trên đảo  phục vụ duy nhất một tuyến từ bến tới ngọn hải đăng với giá 20.000 đồng/ người/ lượt.\np Đi từ Bình Ba, du khách có thể thuê thuyền sang đảo Bình Hưng mất khoảng 60 phút và ngược lại. Tuy nhiên, nếu bạn đi theo đoàn nên đi vào ngày thường, còn khách đơn lẻ đi vào dịp cuối tuần hoặc ngày lễ lại tiết kiệm được chi phí thuê tàu hơn. Tàu đi về ở đảo Bình Hưng chạy cả ngày, khoảng 18h chiều là nghỉ.",12,2014-12-18,2736
"hungphongbk", "Lorem ipsum dolor sit amet, etiam mediocritatem", "p Lorem ipsum dolor sit amet, etiam mediocritatem duo id. Mei ex mucius putant explicari. Eum id habeo mutat malis, velit affert no per, cu mea sonet accusam signiferumque. Cu qualisque aliquando eos, eu quodsi tibique qui. No graecis adolescens usu, iriure referrentur instructior te mea, facer deleniti adipisci sed ei?\np Labore deseruisse vim in, ei sit postulant interesset. Verear habemus voluptatibus duo ut. Sea augue copiosae explicari ad, affert equidem meliore his ad, amet aliquip dolorem cum et. Alienum maluisset adolescens his ad?\np Magna deleniti complectitur cum ne, doming tamquam explicari ea sed! Duo augue probatus senserit ex. No vocent sanctus volutpat nec, te has aperiam albucius dignissim! Pro at affert antiopam, omnis causae interpretaris pro ne, in vis sumo animal! At putent melius per, dictas perpetua et mel. Et est erat tempor principes.\np Eu est vidisse pericula scriptorem. Ad probo saperet rationibus nam, quo at duis detracto liberavisse, salutatus comprehensam et vim. Ius nostro viderer definitionem ex, vix impetus inciderint cu? Ut usu suas maiorum, nobis lucilius mediocritatem ius ut. Cu vel moderatius dissentiet. Est tale erat elaboraret ne, pro inani verear abhorreant cu.\np Vix ex erant noluisse petentium. Cu eam invidunt sensibus, vis no saperet noluisse liberavisse! Labores feugait lucilius pro ad, est utamur alterum abhorreant in, his ne vidit eloquentiam! Sea placerat splendide ei, pri vidit nostrum eleifend id! Nam te facete option, eam ad putent conceptam. Duo cu eius posidonium!\np Harum appetere tractatos at vis! Oratio scriptorem per in. Rebum tempor no vix. Ea per liber appareat, vim modus vocent in?\np Vis viris liberavisse ad, ad labores evertitur scriptorem ius. Magna detracto adversarium vel ad. His vide accumsan te, ne fabulas sententiae sit, id quo case principes. Mel nulla sensibus praesent et, sea invenire evertitur no.\np  no maiorum pericula sapientem, an velit simul vix? Vis cibo erant antiopam in! Ea pro sint nusquam, quo ei scripta recusabo vituperatoribus. Sed unum eius aliquando ne, nec probo libris dicunt id, vis autem oratio aliquip at. Option ancillae torquatos vim in, vix ex consul facilisis temporibus. Sea wisi scribentur no, at sed dicta deleniti.",12,"2014-12-18", 2736
"tranchau", "Lorem ipsum dolor sit amet", "p Lorem ipsum dolor sit amet, etiam mediocritatem duo id. Mei ex mucius putant explicari. Eum id habeo mutat malis, velit affert no per, cu mea sonet accusam signiferumque. Cu qualisque aliquando eos, eu quodsi tibique qui. No graecis adolescens usu, iriure referrentur instructior te mea, facer deleniti adipisci sed ei?\np Labore deseruisse vim in, ei sit postulant interesset. Verear habemus voluptatibus duo ut. Sea augue copiosae explicari ad, affert equidem meliore his ad, amet aliquip dolorem cum et. Alienum maluisset adolescens his ad?\np Magna deleniti complectitur cum ne, doming tamquam explicari ea sed! Duo augue probatus senserit ex. No vocent sanctus volutpat nec, te has aperiam albucius dignissim! Pro at affert antiopam, omnis causae interpretaris pro ne, in vis sumo animal! At putent melius per, dictas perpetua et mel. Et est erat tempor principes.\np Eu est vidisse pericula scriptorem. Ad probo saperet rationibus nam, quo at duis detracto liberavisse, salutatus comprehensam et vim. Ius nostro viderer definitionem ex, vix impetus inciderint cu? Ut usu suas maiorum, nobis lucilius mediocritatem ius ut. Cu vel moderatius dissentiet. Est tale erat elaboraret ne, pro inani verear abhorreant cu.\np Vix ex erant noluisse petentium. Cu eam invidunt sensibus, vis no saperet noluisse liberavisse! Labores feugait lucilius pro ad, est utamur alterum abhorreant in, his ne vidit eloquentiam! Sea placerat splendide ei, pri vidit nostrum eleifend id! Nam te facete option, eam ad putent conceptam. Duo cu eius posidonium!\np Harum appetere tractatos at vis! Oratio scriptorem per in. Rebum tempor no vix. Ea per liber appareat, vim modus vocent in?\np.lead Vis viris liberavisse ad, ad labores evertitur scriptorem ius. Magna detracto adversarium vel ad. His vide accumsan te, ne fabulas sententiae sit, id quo case principes. Mel nulla sensibus praesent et, sea invenire evertitur no.",12,"2014-12-19", 2736
"hungphongbk","Vẻ đẹp quyến rũ miền sơn cước","p.lead Kỳ vĩ mà lãng mạn, bức tranh của đất và trời thu Đông Bắc như man mác, mê hoặc với sắc trắng hồng trải dài tít tắp núi đồi vào mùa hoa tam giác mạch. \np.dropcap Từ cuối tháng 10 đến nửa đầu tháng 11 hàng năm là mùa khoe sắc thắm của hoa tam giác mạch, loài hoa đặc trưng của vùng cao Đông Bắc. Vẻ đẹp quyến rũ của vùng địa đầu tổ quốc làm trỗi dậy cảm xúc thăng hoa đối với những người đã quen cuộc sống đời thường nơi phố thị và đánh thức nỗi nhớ trong lòng những ai thích chinh phục bao điều kỳ thú của thiên nhiên. \np Đó chính là khởi nguồn của ý tưởng lần đầu tiên tổ chức một lễ hội tôn vinh một loài hoa tại Hà Giang, thủ phủ của tam giác mạch. Lễ hội hoa tam giác mạch năm 2015 sẽ diễn ra tại 4 huyện Đồng Văn, Quản Bạ, Yên Minh và Mèo Vạc từ 12/11 đến 15/11. Đây là thời điểm lý tưởng để du khách chiêm ngưỡng hoa và hòa mình vào những hoạt động văn hóa hấp dẫn tại lễ hội như: đêm hội rượu hoa tam giác mạch, trưng bày hoa và các sản phẩm từ hoa tam giác mạch, thi triển lãm ảnh về xứ sở của loài hoa tam giác mạch… \np Tam giác mạch là loại hoa đặc trưng của vùng núi phía Bắc, nhưng chỉ ở Hà Giang thì loài hoa này mới được trồng nhiều và đẹp nhất. Nảy lên từ mày lúa, mày ngô, những cánh hoa chụm lại thành hình chóp nón, có ba mặt tam giác giữ ở giữa hạt mạch quý… Trong vòng một tháng, hoa nở màu trắng, sau chuyển sang phớt hồng, ánh tím, rồi cuối cùng là đỏ sậm. Hoa mọc bạt ngàn trên cánh đồng, khi mọc chênh vênh thành những nương hoa, khi lại ẩn mình lấp ló trong kẽ đá, và hoa làm duyên đâu đó trước mỗi hiên nhà người dân vùng cao. Hoa dân dã, nhưng lại có nét quý phái với gam màu trắng – hồng như hiện thân của tình yêu, hạnh phúc, thu hút bao cặp đôi đến để chụp ảnh cưới.",60,2015-01-12,1000
